DATE,GASREGCOVM
2014-12-01,2.488
2015-01-01,2.046
2015-02-01,2.152
2015-03-01,2.352
2015-04-01,2.369
2015-05-01,2.578
2015-06-01,2.700
2015-07-01,2.666
2015-08-01,2.522
2015-09-01,2.275
2015-10-01,2.230
2015-11-01,2.088
2015-12-01,1.946
2016-01-01,1.843
2016-02-01,1.681
2016-03-01,1.895
2016-04-01,2.027
2016-05-01,2.199
2016-06-01,2.303
2016-07-01,2.157
2016-08-01,2.119
2016-09-01,2.161
2016-10-01,2.186
2016-11-01,2.105
2016-12-01,2.192
2017-01-01,2.285
2017-02-01,2.227
2017-03-01,2.243
2017-04-01,2.340
2017-05-01,2.303
2017-06-01,2.257
2017-07-01,2.211
2017-08-01,2.297
2017-09-01,2.570
2017-10-01,2.43
2017-11-01,2.474
2017-12-01,2.388
2018-01-01,2.467
