
1990 ;43.32
1991 ;36.31
1992 ;33.58
1993 ;28.39
1994 ;25.86
1995 ;26.91
1996 ;31.91
1997 ;28.43
1998 ;17.89
1999 ;24.28
2000 ;38.92
2001 ;31.81
2002 ;31.02
2003 ;36.85
2004 ;48.77
2005 ;62.66
2006 ;70.77
2007 ;75.66
2008 ;103.67
2009 ;60.91
2010 ;79.93
2011 ;94.73
2012 ;92.20
2013 ;95.79
2014 ;88.47
2015 ;43.22
2016 ;37.02
2017 ;42.63
